,Srn,Charge_Id,Charge_Holder_Name,Date_Of_Creation,Date_Of_Modification,Date_Of_Satisfaction,Amount,Cin,Company_Name,Runtime,Address,Charge_Holder_Clean_Name
449,Y10517672,90389602,BANK OF BARODA,1993-10-19,2004-11-09,2005-09-30,117500000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,NARIMAN POINT       Maharashtra  India,BANK OF BARODA
450,Y10517673,90389603,THE UNIT TRUST BANK OF INDIA,1993-11-02,1996-09-12,1999-09-30,60000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,NEW MARINE LINES 13 SIR VITHALDAS THACKERSEY MARG      Maharashtra  India,UNIT TRUST BANK OF INDIA
451,Y10517674,90389604,THE UNIT TRUST BANK OF INDIA,1993-11-10,1996-09-22,1999-09-30,15000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,NEW MARINE LINES 13 SIR VITHALDAS THACKERSEY MARG      Maharashtra  India,UNIT TRUST BANK OF INDIA
452,Y10517675,90389605,THE UNIT TRUST OF INDIA,1993-11-12,,1999-09-30,15000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,NEW MARINE LINES       Maharashtra  India,UNIT TRUST OF INDIA
453,Y10517676,90389606,SOCIETE GENERALE,1993-11-25,,1999-09-30,20000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,NARIMAN POINT       Maharashtra  India,SOCIETE GENERALE
454,Y10517679,90389609,SMALL INDUSTRIES DEVELOPMENT BANK OF INDIA,1994-01-13,1999-03-22,1999-09-30,100000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,22 STATION ROAD       Uttar Pradesh  India,SMALL INDUSTRIES DEVELOPMENT BANK OF INDIA
455,Y10517681,90389611,ICICI BANK LTD.,1994-01-27,,1999-09-30,100000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,163 BACKBAY RECLAMATION       Maharashtra  India,ICICI BANK
456,Y10517683,90389613,INDUSTRIAL DEVELOPMENT BANK OF INDIA,1994-02-24,1994-03-22,1999-09-30,10000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,IDBI TOWER CUFFE PARADE      Maharashtra  India,INDUSTRIAL DEVELOPMENT BANK OF INDIA
457,Y10517684,90389614,SCICI LIMITED,1994-03-30,1994-07-29,1999-09-30,100000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,141 MAKER CHAMBERS CUFFE PARADE      Maharashtra  India,SCICI
458,Y10517686,90389616,SCICI LIMITED,1994-05-16,1997-04-11,1999-09-30,100000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,141 MAKER CHAMBERS CUFFE PARADE      Maharashtra  India,SCICI
459,Y10517687,90389617,THE SAKURA BANK LTD.,1994-06-20,,1999-09-30,50000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,224 NARIMAN POINT FORT      Maharashtra  India,SAKURA BANK
460,Y10517692,90389622,THE SAKURA BANK LTD.,1994-09-30,,1999-09-30,100000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,NARIMAN POINT       Maharashtra  India,SAKURA BANK
