Village_Name,State_Name,District_Name,Block_Name,Pincode
BHANWAR,jharkhand,PALAMU,HARIHARGANJ,822113
BHARATBAHAL,odisha,BOLANGIR,PATNAGARH,767025
BHARBHARWA,bihar,PASHCHIM CHAMPARAN,MAINATAND,845407
BHARPUR CHETIYA,uttar pradesh,BALRAMPUR,HARAIYA SATGHARWA,271402
BHATPURWA,uttar pradesh,BALRAMPUR,HARAIYA SATGHARWA,271207
BHAWANIPUR-2,bihar,PASHCHIM CHAMPARAN,JOGAPATTI,845438
BHISWA,bihar,SITAMARHI,PARIHAR,843324
BHITHA,jharkhand,PALAMU,PIPRA,822113
BHITWARIYA KALAN,uttar pradesh,BALRAMPUR,HARAIYA SATGHARWA,271207
BHOLGHATI,odisha,MAYURBHANJ,MORADA,757018
BHUJEHRA,uttar pradesh,BALRAMPUR,TULSIPUR,271208
BHUJUSAI,jharkhand,PASHCHIMI SINGHBHUM,CHAKRADHARPUR,833102
BHUKURWA,uttar pradesh,BALRAMPUR,PACHPERWA,271605
BHUSAILIYA,uttar pradesh,BALRAMPUR,HARAIYA SATGHARWA,271861
BHUTHA,bihar,SITAMARHI,CHORAUT,843320
BIDRA,jharkhand,PALAMU,PANKI,822122
BIJAPUR,odisha,KORAPUT,BORIGUMMA,764056
BIRBIR,jharkhand,PALAMU,PANKI,822122
BIRKEL,jharkhand,PASHCHIMI SINGHBHUM,GUDRI,835227
BIRKERA,odisha,SUNDERGARH,LATHIKATA,770037
BISHNUPUR,odisha,MAYURBHANJ,BETNOTI,757025
BISHUNPUR RAGHUNATH,bihar,PASHCHIM CHAMPARAN,CHANPATIA,845450
BISHUNPUR URF GONAHI,bihar,SITAMARHI,SONBARSA,843317
BOBIYA,odisha,KORAPUT,KOTPAD,764055
BOCHBANDH,jharkhand,DEOGHAR,SARATH,815353
BOHITA,jharkhand,PALAMU,SATBARWA,822126
BOROI,jharkhand,PASHCHIMI SINGHBHUM,GOELKERA,833103
BRAHMANGAON,odisha,SUNDERGARH,LAHUNIPARA,770044
BRHAMAUL,bihar,SITAMARHI,NANPUR,843333
BUDAMORA,odisha,MAYURBHANJ,BANGRIPOSI,757081
