lat,lng,address,Place
27.1830686,82.2765909,"PRATHMIK KENDRA, near BLOCK, Rehra Bazar, Rehra, Uttar Pradesh 271306, India","CHHITALU PUR,REHRA BAZAR,BALRAMPUR,Uttar Pradesh"
22.4672158,85.9310225,"Roladi, Jharkhand 833204, India","CHHOTA KOYTA,TANTNAGAR,PASHCHIMI SINGHBHUM,Jharkhand"
24.3746769,84.1936203,"Chhatarpur, Jharkhand 822113, India","CHILHO KALA,CHHATARPUR,PALAMU,Jharkhand"
26.8337869,85.5734088,"Sitamarhi, Bihar, India","CHILRA,SONBARSA,SITAMARHI,Bihar"
24.3746769,84.1936203,"Chhatarpur, Jharkhand 822113, India","CHIRU,CHHATARPUR,PALAMU,Jharkhand"
22.6765454,85.62549969999999,"Chakradharpur, Jharkhand 833102, India","CHITPIL,CHAKRADHARPUR,PASHCHIMI SINGHBHUM,Jharkhand"
26.9988868,84.1026062,"Madhubani, Bihar 845104, India","CHIURAHI,MADHUBANI,PASHCHIM CHAMPARAN,Bihar"
24.4920142,83.9434356,"Haidar Nagar Rd, Haidar Nagar, Jharkhand 822115, India","CHOKDI,HAIDARNAGAR,PALAMU,Jharkhand"
23.8916803,84.03260329999999,"Chorhat, Jharkhand, India","CHORHAT,RAMGARH,PALAMU,Jharkhand"
26.4409294,85.6653206,"Nanpur, Bihar 843333, India","CHOTA BHADIAN,NANPUR,SITAMARHI,Bihar"
24.0357114,84.47763719999999,"Panki, Jharkhand 822122, India","CHOUBAN TAND,PANKI,PALAMU,Jharkhand"
23.6621151,85.50840029999999,"Ranchi Rd -Sail- Naisarai Rd, Ramgarh Cantonment, Jharkhand 829117, India","CHOUPARIA,RAMGARH,PALAMU,Jharkhand"
24.3733078,84.1929949,"Bara, Palamu, NH-98, Aurangabad, Road, Chhatarpur, Jharkhand 822113, India","CHOWKHDA,CHHATARPUR,PALAMU,Jharkhand"
22.4112236,85.765722,"Jhinkpani, Jorapokhar, Jharkhand 833215, India","CHOYA,JHINKPANI,PASHCHIMI SINGHBHUM,Jharkhand"
23.8851314,84.0933652,"Bansdih Khurd, Jharkhand, India","CHUNGA BANSDIH KHURD,RAMGARH,PALAMU,Jharkhand"
26.5947125,85.4841371,"Bari Bazar Rd, Mirchai Patti, Sitamarhi, Bihar 843302, India","COURT BAZAR WD 24,DUMRA,SITAMARHI,Bihar"
27.4588592,82.2284471,"Dakahi, Uttar Pradesh 271201, India","DAKAHI,BALRAMPUR,BALRAMPUR,Uttar Pradesh"
24.3380571,83.9195036,"Dala khurd, Jharkhand 822120, India","DALA KHURD,PANDU,PALAMU,Jharkhand"
