Country,City,Area,Area_Clean,Count,Relevant_Week,Relevant_Date,Runtime
India,Jhumri Telaiya,Jhumri Telaiya,Jhumri Telaiya,18,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Paradeep,Paradip,Paradip,28,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Khambhat,Khambhat,Khambhat,17,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Bodinayakanur,Bodinayakanur,Bodinayakanur,25,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Jaora,Jaora,Jaora,23,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Nagda,Nagda,Nagda,28,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Kadiri,Kadiri,Kadiri,12,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Palakollu,Palakollu,Palakollu,15,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Yemmiganur,Yemmiganur,Yemmiganur,14,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Kadayanallur,Kadayanallur,Kadayanallur,14,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Jeypore,Jeypore,Jeypore,26,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Gudiyatham,Gudiyatham,Gudiyatham,23,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Bhadohi,Bhadohi,Bhadohi,27,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Arakkonam,Arakkonam,Arakkonam,50,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Ramanagara,Ramanagara,Ramanagara,17,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Karaikal,Karaikal,Karaikal,11,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Mahoba,Mahoba,Mahoba,48,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Koppal,Koppal,Koppal,21,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Lakhisarai,Lakhisarai,Lakhisarai,15,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Mahuva,Mahuva,Mahuva,12,Week 09-2023,2023-03-02,2023-03-02 08:50:53
