js_file,company,count
bank,nashik zilla sarkari and parishad karmachari sahakari bank niyamit nashik,3
bank,nasik merchants co op bank,10
bank,nasik road deolali vyapari sahakari bank,3
bank,national australia bank,7
bank,national bank for agriculture and rural development,7
bank,national bank of abu dhabi pjsc,6
bank,national securities clearing corporation,3
bank,national stock exchange of india,4
bank,natwest markets plc,6
bank,nav jeevan co op bank,10
bank,naval dockyard co op bank,3
bank,navanagara urban co op bank,3
bank,navi mumbai co op bank,3
bank,navnirman co op bank,10
bank,navsarjan indl co op bank,3
bank,nawanagar co op bank,10
bank,new india co op bank,10
bank,new urban coop bank  rampur,3
bank,nidhi co op bank,3
bank,nigiris district central co op bank,3
bank,nilambur co op urban bank,10
bank,nilgiris district central co op bank,3
bank,nkgsb bank,10
bank,nomura fixed income securities,3
bank,north east small finance bank,16
bank,north kanara gsb co op bank,3
bank,north malabar gramin bank,6
bank,nsdl payments bank,17
bank,nse clearing,3
bank,nutan nagarik sahakari bank,10
bank,odisha state co op bank,4
bank,oman international bank,9
bank,omprakash deora peoples co op bank hingoli,3
bank,orissa state co op bank,3
bank,ottapalam co op urban bank,3
bank,pali urban co op bank,3
bank,pallavan grama bank,3
bank,palus sahakari bank palus,3
bank,panchmahal district co op bank,3
bank,panchsheel mercantile co op bank,3
bank,pandharpur urban co op bank,7
bank,panipat central co op bank,3
bank,panipat urban co op bank,3
bank,parsik janata sahakari bank,6
bank,patan nagarik sahakari bank,3
bank,pavana sahakari bank,10
bank,paytm payments bank,20
bank,peoples co op bank dholka,3
bank,peoples urban co op bank,3
bank,pimpalgaon merchant co op bank,3
bank,pnb gilts,3
bank,pochampally co op urban bank,3
bank,ponani co op urban bank,3
bank,poornawadi nagrik sah bank m beed,3
bank,porbandar commercial co op bank,3
bank,pragati sahakari bank vadodara,3
bank,prarthmik shikshak sahakari bank satara,3
bank,pratap co op bank,3
bank,prathama bank,9
bank,prerana co op bank,3
bank,prime co op bank,10
bank,priyadarshani nagari sahakari bank jalna,3
bank,progressive mercantile co op bank,3
bank,pt bank maybank indonesia tbk,4
bank,puddukottai district central co op bank,3
bank,puduvai bharathiar grama bank,3
bank,pune cantonment sahakari bank,3
bank,pune peoples co op bank,3
bank,punjab and maharashtra co op bank,9
bank,punjab and sind bank,18
bank,punjab national bank,29
bank,punjab state co op bank,10
bank,purvanchal bank,3
bank,pusad urban bank,3
bank,pusad urban co op bank,6
bank,pusad urban co op bank pusad,1
bank,qatar national bank qpsc,6
bank,qatar national bank saq,8
bank,rabo bank international,8
bank,railway emp co op bank jaipur,3
bank,raipur urban mercantile co op bank,3
bank,rajadhani co op urban bank,3
bank,rajapur urban co op bank,3
bank,rajarambapu sahakari bank,10
bank,rajarshi shahu sahakari bank,7
