,0,1,2
320,vishweshwar sahakari bank,vishweshwar sahakari bank,True
321,west bengal state co op bank,west bengal state co op bank,True
322,zoroastrian co op bank,zoroastrian co op bank,True
323,american express,american express,True
324,kalupur commercial co op bank,kalupur commercial co op bank,True
325,mahanagar co op bank,mahanagar co op bank,True
326,mahanagar coopbank,mahanagar co op bank,False
327,oman international bank,oman international bank,True
328,prathama bank,prathama bank,True
329,punjab & maharashtra co op bank,punjab & maharashtra co op bank,True
330,samarth sahakari bank,samarth sahakari bank solapur,False
331,samarth sahakari bank solapur,samarth sahakari bank solapur,True
332,abu dhabi commercial bank,abu dhabi commercial bank,True
333,anz banking group,anz banking group,True
334,bank of ceylon,bank of ceylon,True
335,bank of china,bank of china,True
336,bank of china india branch,bank of china,False
337,credit agricole corporate & investment bank,credit agricole corporate & investment bank,True
338,credit suisse,credit suisse,True
339,ctbc bank,ctbc bank,True
340,emirates nbd bank pjsc,emirates nbd bank pjsc,True
341,industrial & commercial bank of china,industrial & commercial bank of china,True
342,industrial bank of korea,industrial bank of korea,True
343,kookmin bank,kookmin bank,True
344,mashreq bank,mashreq bank,True
345,qatar national bank qpsc,qatar national bank saq,False
346,qatar national bank saq,qatar national bank saq,True
347,rabo bank international,rabo bank international,True
348,sber bank,sber bank,True
349,sumitomo mitsui banking corporation,sumitomo mitsui banking corporation,True
350,westpac banking corporation,westpac banking corporation,True
351,almora urban bank,almora urban co op bank,False
352,almora urban co op bank,almora urban co op bank,True
353,andhra pragathi grameena bank,andhra pragathi grameena bank,True
354,b n p paribas,bnp paribas,False
355,bank of nova scotia,bank of nova scotia,True
356,bank of tokyo & mitsubishi,bank of tokyo & mitsubishi,True
357,baramati sahakari bank,baramati sahakari bank,True
358,bk of tokyo mitsubishi ufj,bank of tokyo & mitsubishi,False
359,bnp paribas,bnp paribas,True
360,chhattisgarh rajya gramin bank,chhattisgarh rajya gramin bank,True
361,commonwealth bank of australia,commonwealth bank of australia,True
362,darussalam co op urban bank,darussalam co op urban bank,True
363,delhi state co op bank,delhi state co op bank,True
364,deposit insurance & credit guarantee corporation,deposit insurance & credit guarantee corporation,True
365,dombivli nagari sahakari bank,dombivli nagari sahakari bank,True
366,dombivli nagrik sahakari bank,dombivli nagari sahakari bank,False
367,export import bank of india,export import bank of india,True
368,gadchiroli district central co op bank,gadchiroli district central co op bank,True
369,guardian souharda sahakari bank niyamita,guardian souharda sahakari bank niyamita,True
370,himachal pradesh gramin bank,himachal pradesh state co op bank,False
371,himachal pradesh state co op bank,himachal pradesh state co op bank,True
372,idukki district co op bank,idukki district co op bank,True
373,irinjalakuda town co op bank,irinjalakuda town co op bank,True
374,kallappanna awade ichalkaranji janata sahakari bank,kallappanna awade ichalkaranji janata sahakari bank,True
375,kangra central co op bank,kangra central co op bank,True
376,kangra co op bank,kangra central co op bank,False
377,karad urban co op bank,karad urban co op bank,True
378,krung thai bank pcl,krung thai bank pcl,True
379,krung thai bank plc,krung thai bank pcl,False
380,kurmanchal nagar sahakari bank,kurmanchal nagar sahakari bank,True
381,malkapur urban co op bank,malkapur urban co op bank,True
382,mizuho bank,mizuho corporate bank,False
383,mizuho corporate bank,mizuho corporate bank,True
384,mufg bank,mufg bank,True
385,mumbai district central co op bank,mumbai district central co op bank,True
386,municipal co op bank,municipal co op bank,True
387,municipal co op bank mumbai,municipal co op bank,False
388,nagar urban co op bank,nagar urban co op bank,True
389,nagpur nagarik sahakari bank,nagpur nagarik sahakari bank,True
390,national australia bank,national australia bank,True
391,national bank for agriculture & rural development,national bank for agriculture & rural development,True
392,pandharpur urban co op bank,pandharpur urban co op bank,True
393,rajarshi shahu sahakari bank,rajarshi shahu sahakari bank,True
394,sahebrao deshmukh co op bank,sahebrao deshmukh co op bank,True
395,satara district central co op bank,satara district central co op bank,True
396,satara sahakari bank,satara sahakari bank,True
397,seva vikas co op bank,seva vikas co op bank,True
398,shamrao vithal co op bank,shamrao vithal co op bank,True
399,shikshak sahakari bank,shikshak sahakari bank,True
400,shri veershaiv co op bank,shri veershaiv co op bank,True
401,sindhudurg district central co op bank,sindhudurg district central co op bank,True
402,sir m visvesvaraya co op bank,sir m visvesvaraya co op bank,True
403,smriti nagrik sahakari bank,smriti nagrik sahakari bank,True
404,societe generale,societe generale,True
405,solapur janata sahakari bank,solapur janata sahakari bank,True
406,telangana state co op apex bank,telangana state co op apex bank,True
407,zila sahakari bank ghaziabad,zila sahakari bank ghaziabad,True
408,bank internasional indonesia,bank internasional indonesia,True
409,bank international indonesia,bank internasional indonesia,False
410,capital local area bank,capital local area bank,True
411,chinatrust commercial bank,chinatrust commercial bank,True
412,first abu dhabi bank pjsc,national bank of abu dhabi pjsc,False
413,gandevi peoples co op bank,gandevi peoples co op bank,True
414,gopinath patil parsik janata sahakari bank,gopinath patil parsik janata sahakari bank,True
415,gp parsik janata sahakari bank,gp parsik janata sahakari bank,True
416,gurgaon gramin bank,gurgaon gramin bank,True
417,janaseva sahakari bank pune,janata sahakari bank pune,False
418,janata sahakari bank,janata sahakari bank pune,False
419,janata sahakari bank ajara,janata sahakari bank pune,False
420,janata sahakari bank pune,janata sahakari bank pune,True
421,janseva sahakari bank pune,janata sahakari bank pune,False
422,korea exchange bank,korea exchange bank,True
423,national bank of abu dhabi pjsc,national bank of abu dhabi pjsc,True
424,natwest markets plc,natwest markets plc,True
425,north malabar gramin bank,north malabar gramin bank,True
426,parsik janata sahakari bank,parsik janata sahakari bank,True
427,pusad urban bank,pusad urban co op bank,False
428,pusad urban co op bank,pusad urban co op bank,True
429,pusad urban co op bank pusad,pusad urban co op bank,False
430,sarva haryana gramin bank,sarva haryana gramin bank,True
431,shri chhatrapati rajarshi shahu urban co op bank,shri chhatrapati rajarshi shahu urban co op bank,True
432,shri chhatrapati rajashri shahu urban co op bank,shri chhatrapati rajarshi shahu urban co op bank,False
433,small industries development bank of india,small industries development bank of india,True
434,svc co op bank,svc co op bank,True
435,ubs ag,ubs ag,True
436,urban co op bank bareilly,urban co op bank bareilly,True
437,urban co operative bank bareilly,urban co op bank bareilly,False
438,development bank of singapore,development bank of singapore,True
439,keb hana bank,keb hana bank,True
440,rbi pad,rbi pad,True
441,sbi comm & int bank,sbi comm & int bank,True
442,commercial co op bank jamnagar,commercial co op bank jamnagar,True
443,gs mahanagar co op bank,gs mahanagar co op bank,True
444,janaseva sahakari bank,janaseva sahakari bank borivli,False
445,janaseva sahakari bank borivli,janaseva sahakari bank borivli,True
446,janseva sahakari bank borivili,janaseva sahakari bank borivli,False
447,kukarwada nagarik sahakari bank,kukarwada nagarik sahakari bank,True
448,national stock exchange of india,national stock exchange of india,True
449,odisha state co op bank,odisha state co op bank,True
450,pt bank maybank indonesia tbk,pt bank maybank indonesia tbk,True
451,rajnandgaon district central co op bank,rajnandgaon district central co op bank,True
452,reserve bank of india,reserve bank of india,True
453,abhinandan urban co op bank amravati,abhinandan urban co op bank amravati,True
454,abhinav sahakari bank dombivali,abhinav sahakari bank dombivali,True
455,abn amro bank nv,abn amro bank nv,True
456,accountant generals office employees co op bank,accountant generals office employees co op bank,True
457,adarniya p d patilsaheb sahakari bank karad,adarniya p d patilsaheb sahakari bank karad,True
458,adarsh co op urban bank,adarsh co op urban bank,True
459,adarsh mahila nagari sahakari bank aurangabad,adarsh mahila nagari sahakari bank aurangabad,True
460,adilabad dist co op central bank,adilabad dist co op central bank,True
461,adinath co op bank,adinath co op bank,True
462,agrasen bank,agrasen bank,True
463,ahmednagar shahar sahakari bank,ahmednagar shahar sahakari bank,True
464,akhand anand co op bank surat,akhand anand co op bank surat,True
