js_file,company,count
bank,lokvikas nagari sahakari bank aurangabad,3
bank,lonavala sahakari bank,3
bank,lunawada peoples co op bank,3
bank,m s co op bank,3
bank,madhya bihar gramin bank patna,3
bank,madurai district central co op bank,3
bank,mahalakshmi co op bank udupi,3
bank,mahanagar co op bank,9
bank,mahanagar coopbank,3
bank,mahanagar nagrik sahakari bank,3
bank,maharaja co op urban bank,3
bank,maharashtra gramin bank,10
bank,maharashtra mantralaya and allied offices co op bank,3
bank,maharashtra state co op bank,10
bank,mahesh sahakari bank pune,10
bank,mahesh urban co op bank parbhani,3
bank,mahila nagrik sahakari bank maryadit mahasamund cg,3
bank,makarpura industrial estate co op bank,3
bank,malad sahakari bank,10
bank,malkapur urban co op bank,7
bank,malviya urban co op bank,3
bank,mandvi nagrik sahakari bank,3
bank,mangalore catholic co op bank,3
bank,mangalore co op town bank,3
bank,manipur rural bank,3
bank,manjeri co op urban bank,3
bank,mann deshi mahila sahakari bank mhaswad,3
bank,mansing co op bank dudhondi,3
bank,manvi pattana souharda sahakari bank ni,3
bank,maratha co op bank belgaum,3
bank,mashreq bank,8
bank,mattancherry sarvajanik co op bank,3
bank,mcx sx clearing corporation,3
bank,meghalaya co op apex bank,10
bank,meghalaya rural bank,3
bank,mehsana nagrik sahakari bank,3
bank,mehsana urban co op bank,10
bank,merchants co op bank tiptur,3
bank,metropolitan clearing corporation of india,3
bank,mizuho bank,4
bank,mizuho corporate bank,7
bank,modasa nagarik sahakari bank,3
bank,model co op bank,10
bank,morgan stanley,3
bank,morgan stanley primary dealer,3
bank,mufg bank,7
bank,mugberia central co op bank,3
bank,mumbai district central co op bank,7
bank,municipal co op bank,7
bank,municipal co op bank mumbai,6
bank,muslim co op bank,10
bank,mysore and chamarajanagar distt co op central bank,3
bank,nadia district central co op bank,3
bank,nagar urban co op bank,7
bank,nagarik sahakari bank maryadit durg,3
bank,nagpur nagarik sahakari bank,7
bank,nagpur nagrik co op bank,3
bank,nagrik sahakari bank maryadit gwalior,3
bank,nagrik sahakari bank maryadit vidisha,3
bank,nainital bank,17
bank,nalgonda dist co op central bank nalgonda,3
bank,nandani sahakari bank nandani,3
bank,nanded merchants co op bank,3
bank,nandura urban co op bank,3
bank,nandurbar merchants coop bank nandurbar,3
bank,naroda nagrik co op bank,3
bank,nashik zilla sarkari and parishad karmachari sahakari bank niyamit nashik,3
bank,nasik merchants co op bank,10
bank,nasik road deolali vyapari sahakari bank,3
bank,national australia bank,7
bank,national bank for agriculture and rural development,7
bank,national bank of abu dhabi pjsc,6
bank,national securities clearing corporation,3
bank,national stock exchange of india,4
bank,natwest markets plc,6
bank,nav jeevan co op bank,10
bank,naval dockyard co op bank,3
bank,navanagara urban co op bank,3
bank,navi mumbai co op bank,3
bank,navnirman co op bank,10
bank,navsarjan indl co op bank,3
bank,nawanagar co op bank,10
bank,new india co op bank,10
bank,new urban coop bank  rampur,3
bank,nidhi co op bank,3
bank,nigiris district central co op bank,3
bank,nilambur co op urban bank,10
bank,nilgiris district central co op bank,3
bank,nkgsb bank,10
bank,nomura fixed income securities,3
bank,north east small finance bank,16
bank,north kanara gsb co op bank,3
bank,north malabar gramin bank,6
bank,nsdl payments bank,17
bank,nse clearing,3
bank,nutan nagarik sahakari bank,10
bank,odisha state co op bank,4
bank,oman international bank,9
bank,omprakash deora peoples co op bank hingoli,3
bank,orissa state co op bank,3
bank,ottapalam co op urban bank,3
